ID	Pathogen	Pathogen Taxonomy	Source	Taxonomy ID	Transmission Method	Host/Reservoir	Taxonomy ID	Disease	Anatomy	Symptoms/Documentation/Attributes
TI:0000379	Burkholderia pseudomallei	28450	unknown		unknown	Hominidae	9604	Melioidosis	unknown	PMID:15525357
TI:0000378	Burkholderia pseudomallei	28450	food		indirect: vehicle-borne ingestion	Hylobatidae	9577	Melioidosis	digestive system	PMID:15525357
TI:0000377	Burkholderia pseudomallei	28450	air		indirect: airborne	Hylobatidae	9577	Melioidosis	unknown	PMID:15525357
TI:0000376	Burkholderia pseudomallei	28450	not curated		direct: contact	Hylobatidae	9577	Melioidosis	unknown	PMID:15525357
TI:0000375	Burkholderia pseudomallei	28450	unknown		unknown	Macropodidae	9307	Melioidosis	unknown	PMID:15525357
TI:0000374	Burkholderia pseudomallei	28450	unknown		unknown	Columbidae	8930	Melioidosis	unknown	PMID:15525357
TI:0000373	Burkholderia pseudomallei	28450	food		indirect: vehicle-borne ingestion	Cacatuidae	35549	Melioidosis	digestive system	PMID:15525357
TI:0000372	Burkholderia pseudomallei	28450	air		indirect: airborne	Cacatuidae	35549	Melioidosis	unknown	PMID:15525357
TI:0000371	Burkholderia pseudomallei	28450	not curated		direct: contact	Cacatuidae	35549	Melioidosis	unknown	PMID:15525357
TI:0000370	Burkholderia pseudomallei	28450	unknown		unknown	Casuarius	8786	Melioidosis	unknown	PMID:15525357
TI:0000369	Burkholderia pseudomallei	28450	food		indirect: vehicle-borne ingestion	Spheniscidae	9231	Melioidosis	digestive system	PMID:15525357
TI:0000368	Burkholderia pseudomallei	28450	air		indirect: airborne	Spheniscidae	9231	Melioidosis	unknown	PMID:15525357
TI:0000367	Burkholderia pseudomallei	28450	not curated		direct: contact	Spheniscidae	9231	Melioidosis	unknown	PMID:15525357
TI:0000366	Burkholderia pseudomallei	28450	unknown		unknown	Tursiops truncatus	9739	Melioidosis	kidney	PMID:10860161,PMID:15525357
TI:0000365	Burkholderia pseudomallei	28450	unknown		unknown	Tursiops truncatus	9739	Melioidosis	lymph node	PMID:10860161,PMID:15525357
TI:0000364	Burkholderia pseudomallei	28450	unknown		unknown	Tursiops truncatus	9739	Melioidosis	lung	PMID:10860161,PMID:15525357
TI:0000363	Burkholderia pseudomallei	28450	unknown		unknown	Tursiops truncatus	9739	Melioidosis	spleen	PMID:10860161,PMID:15525357
TI:0000362	Burkholderia pseudomallei	28450	unknown		unknown	Tursiops truncatus	9739	Melioidosis	liver	PMID:10860161,PMID:15525357
TI:0000361	Burkholderia pseudomallei	28450	food		indirect: vehicle-borne ingestion	Tursiops truncatus	9739	Melioidosis	digestive system	PMID:10860161
TI:0000360	Burkholderia pseudomallei	28450	air		indirect: airborne	Tursiops truncatus	9739	Melioidosis	unknown	PMID:10860161
TI:0000359	Burkholderia pseudomallei	28450	not curated		direct: contact	Tursiops truncatus	9739	Melioidosis	unknown	PMID:10860161
TI:0000358	Burkholderia pseudomallei	28450	food		indirect: vehicle-borne ingestion	Equus subg. Hippotigris	35506	Melioidosis	digestive system	PMID:15525357
TI:0000357	Burkholderia pseudomallei	28450	air		indirect: airborne	Equus subg. Hippotigris	35506	Melioidosis	unknown	PMID:15525357
TI:0000356	Burkholderia pseudomallei	28450	not curated		direct: contact	Equus subg. Hippotigris	35506	Melioidosis	unknown	PMID:15525357
TI:0000355	Burkholderia pseudomallei	28450	food		indirect: vehicle-borne ingestion	Panda	212257	Melioidosis	digestive system	PMID:15525357
TI:0000354	Burkholderia pseudomallei	28450	air		indirect: airborne	Panda	212257	Melioidosis	unknown	PMID:15525357
TI:0000353	Burkholderia pseudomallei	28450	not curated		direct: contact	Panda	212257	Melioidosis	unknown	PMID:15525357
TI:0000352	Burkholderia pseudomallei	28450	food		indirect: vehicle-borne ingestion	Oryx	9957	Melioidosis	digestive system	PMID:15525357
TI:0000351	Burkholderia pseudomallei	28450	air		indirect: airborne	Oryx	9957	Melioidosis	unknown	PMID:15525357
TI:0000350	Burkholderia pseudomallei	28450	not curated		direct: contact	Oryx	9957	Melioidosis	unknown	PMID:15525357
